Number,Company,TypeName,Inches,Display,Touchscreen,Width,Height,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,OpSys,Weight,Price
0,Apple,Ultrabook,13.3,IPS Panel Retina Display,0,2560,1600,Intel Core i5,2.3,8,128GB SSD,,Intel Iris Plus Graphics 640,macOS,1.37,71378.6832
1,Apple,Ultrabook,13.3,None,0,1440,900,Intel Core i5,1.8,8,128GB Flash Storage,,Intel HD Graphics 6000,macOS,1.34,47895.5232
2,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,No OS,1.86,30636.0
3,Apple,Ultrabook,15.4,IPS Panel Retina Display,0,2880,1800,Intel Core i7,2.7,16,512GB SSD,,AMD Radeon Pro 455,macOS,1.83,135195.33599999998
4,Apple,Ultrabook,13.3,IPS Panel Retina Display,0,2560,1600,Intel Core i5,3.1,8,256GB SSD,,Intel Iris Plus Graphics 650,macOS,1.37,96095.808
5,Acer,Notebook,15.6,None,0,1366,768,AMD A9-Series 9420,3.0,4,500GB HDD,,AMD Radeon R5,Windows 10,2.1,21312.0
6,Apple,Ultrabook,15.4,IPS Panel Retina Display,0,2880,1800,Intel Core i7,2.2,16,256GB Flash Storage,,Intel Iris Pro Graphics,Mac OS X,2.04,114017.6016
7,Apple,Ultrabook,13.3,None,0,1440,900,Intel Core i5,1.8,8,256GB Flash Storage,,Intel HD Graphics 6000,macOS,1.34,61735.536
8,Asus,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,16,512GB SSD,,Nvidia GeForce MX150,Windows 10,1.3,79653.59999999999
9,Acer,Ultrabook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.6,41025.6
10,HP,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,4,500GB HDD,,Intel HD Graphics 620,No OS,1.86,20986.992
11,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,500GB HDD,,Intel HD Graphics 520,No OS,1.86,18381.0672
12,Apple,Ultrabook,15.4,IPS Panel Retina Display,0,2880,1800,Intel Core i7,2.8,16,256GB SSD,,AMD Radeon Pro 555,macOS,1.83,130001.6016
13,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,256GB SSD,,AMD Radeon R5 M430,Windows 10,2.2,26581.392
14,Apple,Ultrabook,12.0,IPS Panel Retina Display,0,2304,1440,Intel Core M m3,1.2,8,256GB SSD,,Intel HD Graphics 615,macOS,0.92,67260.672
15,Apple,Ultrabook,13.3,IPS Panel Retina Display,0,2560,1600,Intel Core i5,2.3,8,256GB SSD,,Intel Iris Plus Graphics 640,macOS,1.37,80908.344
16,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,AMD Radeon R5 M430,Windows 10,2.2,39693.6
17,Apple,Ultrabook,15.4,IPS Panel Retina Display,0,2880,1800,Intel Core i7,2.9,16,512GB SSD,,AMD Radeon Pro 560,macOS,1.83,152274.24
18,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 7100U,2.4,8,1TB HDD,,Nvidia GeForce 940MX,No OS,2.2,26586.72
19,Dell,Ultrabook,13.3,IPS Panel Full HD,1,1920,1080,Intel Core i5 8250U,1.6,8,128GB SSD,,Intel UHD Graphics 620,Windows 10,1.22,52161.12
20,Asus,Netbook,11.6,None,0,1366,768,Intel Atom x5-Z8350,1.44,2,32GB Flash Storage,,Intel HD Graphics 400,Windows 10,0.98,10224.432
21,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72
22,HP,Notebook,15.6,None,0,1366,768,AMD E-Series E2-9000e,1.5,4,500GB HDD,,AMD Radeon R2,No OS,1.86,13746.24
23,Dell,2 in 1 Convertible,13.3,Full HD,1,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.62,43636.32
24,HP,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.91,35111.52
25,Dell,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,4,1TB HDD,,Intel HD Graphics 520,Windows 10,2.3,22305.1392
26,Apple,Ultrabook,13.3,None,0,1440,900,Intel Core i5,1.6,8,128GB Flash Storage,,Intel HD Graphics 6000,Mac OS X,1.35,58554.72
27,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,AMD Radeon 530,Windows 10,2.2,42624.0
28,Dell,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i7 8650U,1.9,8,256GB SSD,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,69157.44
29,HP,Notebook,17.3,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,1TB HDD,,Nvidia GeForce 930MX,Windows 10,2.5,47738.88
30,Chuwi,Notebook,15.6,Full HD,0,1920,1080,Intel Atom x5-Z8300,1.44,4,64GB Flash Storage,,Intel HD Graphics,Windows 10,1.89,13053.0672
31,Asus,Notebook,14.0,None,0,1366,768,AMD E-Series E2-6110,1.5,2,32GB Flash Storage,,AMD Radeon R2,Windows 10,1.65,10602.72
32,HP,Notebook,17.3,Full HD,0,1920,1080,AMD A6-Series 9220,2.5,4,500GB HDD,,AMD Radeon 530,Windows 10,2.71,23389.92
33,Dell,Ultrabook,13.3,Quad HD+,1,3200,1800,Intel Core i7 8550U,1.8,16,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.2,99580.32
34,Apple,Ultrabook,13.3,None,0,1440,900,Intel Core i5,1.6,8,256GB Flash Storage,,Intel HD Graphics 6000,Mac OS X,1.35,53173.44
35,Lenovo,Notebook,14.0,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,4,64GB Flash Storage,,Intel HD Graphics 500,Windows 10,1.44,13266.72
36,Acer,Notebook,15.6,None,0,1366,768,Intel Core i3 7130U,2.7,4,1TB HDD,,Intel HD Graphics 620,Linux,2.1,19553.76
37,Dell,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,2.8,52161.12
38,HP,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,4,1TB HDD,,Intel HD Graphics 620,Windows 10,1.86,26037.4032
39,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Nvidia GeForce 930MX,Windows 10,2.1,46833.12
40,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,Intel HD Graphics 620,Linux,2.0,20725.92
41,Dell,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,79866.72
