Number,one_hot_Company_Acer,one_hot_Company_Apple,one_hot_Company_Asus,one_hot_Company_Chuwi,one_hot_Company_Dell,one_hot_Company_Fujitsu,one_hot_Company_Google,one_hot_Company_HP,one_hot_Company_Huawei,one_hot_Company_LG,one_hot_Company_Lenovo,one_hot_Company_MSI,one_hot_Company_Mediacom,one_hot_Company_Microsoft,one_hot_Company_Razer,one_hot_Company_Samsung,one_hot_Company_Toshiba,one_hot_Company_Vero,one_hot_Company_Xiaomi,one_hot_TypeName_2 in 1 Convertible,one_hot_TypeName_Gaming,one_hot_TypeName_Netbook,one_hot_TypeName_Notebook,one_hot_TypeName_Ultrabook,one_hot_TypeName_Workstation,Inches,Display,Touchscreen,ScreenArea,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,one_hot_OpSys_Android,one_hot_OpSys_Chrome OS,one_hot_OpSys_Linux,one_hot_OpSys_Mac OS X,one_hot_OpSys_No OS,one_hot_OpSys_Windows 10,one_hot_OpSys_Windows 10 S,one_hot_OpSys_Windows 7,one_hot_OpSys_macOS,Weight,Price
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,8,0,4096000,61,2.3,8,14,0,70,0,0,0,0,0,0,0,0,1,1.37,71378.6832
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,1,0,1296000,61,1.8,8,12,0,43,0,0,0,0,0,0,0,0,1,1.34,47895.5232
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,8,17,0,45,0,0,0,0,1,0,0,0,0,1.86,30636.0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.4,8,0,5184000,75,2.7,16,19,0,81,0,0,0,0,0,0,0,0,1,1.83,135195.33599999998
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,8,0,4096000,61,3.1,8,17,0,72,0,0,0,0,0,0,0,0,1,1.37,96095.808
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,25,3.0,4,9,0,14,0,0,0,0,0,1,0,0,0,2.1,21312.0
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.4,8,0,5184000,75,2.2,16,18,0,76,0,0,0,1,0,0,0,0,0,2.04,114017.6016
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,1,0,1296000,61,1.8,8,18,0,43,0,0,0,0,0,0,0,0,1,1.34,61735.536
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0,3,0,2073600,52,1.8,16,19,0,41,0,0,0,0,0,1,0,0,0,1.3,79653.59999999999
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0,5,0,2073600,45,1.6,8,17,0,51,0,0,0,0,0,1,0,0,0,1.6,41025.6
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,43,2.5,4,9,0,45,0,0,0,0,1,0,0,0,0,1.86,20986.992
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,27,2.0,4,9,0,34,0,0,0,0,1,0,0,0,0,1.86,18381.0672
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.4,8,0,5184000,75,2.8,16,17,0,80,0,0,0,0,0,0,0,0,1,1.83,130001.6016
13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,27,2.0,4,17,0,19,0,0,0,0,0,1,0,0,0,2.2,26581.392
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0,8,0,3317760,54,1.2,8,17,0,63,0,0,0,0,0,0,0,0,1,0.92,67260.672
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,8,0,4096000,61,2.3,8,17,0,70,0,0,0,0,0,0,0,0,1,1.37,80908.344
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,55,2.7,8,17,0,19,0,0,0,0,0,1,0,0,0,2.2,39693.6
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.4,8,0,5184000,75,2.9,16,19,0,85,0,0,0,0,0,0,0,0,1,1.83,152274.24
18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,34,2.4,8,11,0,40,0,0,0,0,1,0,0,0,0,2.2,26586.72
19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,5,1,2073600,45,1.6,8,14,0,51,0,0,0,0,0,1,0,0,0,1.22,52161.12
20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.6,1,0,1049088,3,1.44,2,4,0,2,0,0,0,0,0,1,0,0,0,0.98,10224.432
21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,5,0,2073600,49,2.5,8,14,5,54,0,0,0,0,0,1,0,0,0,2.5,53226.72
22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,9,1.5,4,9,0,1,0,0,0,0,1,0,0,0,0,1.86,13746.24
23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,3,1,2073600,45,1.6,8,17,0,51,0,0,0,0,0,1,0,0,0,1.62,43636.32
24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,3,0,2073600,52,1.8,8,17,0,45,0,0,0,0,0,1,0,0,0,1.91,35111.52
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,27,2.0,4,11,0,34,0,0,0,0,0,1,0,0,0,2.3,22305.1392
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,1,0,1296000,61,1.6,8,12,0,43,0,0,0,1,0,0,0,0,0,1.35,58554.72
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,45,1.6,8,17,0,38,0,0,0,0,0,1,0,0,0,2.2,42624.0
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,3,0,2073600,62,1.9,8,17,2,51,0,0,0,0,0,1,0,0,0,1.88,69157.44
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,3,0,2073600,45,1.6,8,11,0,44,0,0,0,0,0,1,0,0,0,2.5,47738.88
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,4,1.44,4,7,0,7,0,0,0,0,0,1,0,0,0,1.89,13053.0672
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,1,0,1049088,2,1.5,2,4,0,1,0,0,0,0,0,1,0,0,0,1.65,10602.72
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,3,0,2073600,20,2.5,4,9,0,38,0,0,0,0,0,1,0,0,0,2.71,23389.92
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,7,1,5760000,52,1.8,16,19,0,51,0,0,0,0,0,1,0,0,0,1.2,99580.32
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,1,0,1296000,61,1.6,8,18,0,43,0,0,0,1,0,0,0,0,0,1.35,53173.44
35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,1,0,1049088,12,1.1,4,7,0,3,0,0,0,0,0,1,0,0,0,1.44,13266.72
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,32,2.7,4,11,0,45,0,0,1,0,0,0,0,0,0,2.1,19553.76
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,5,0,2073600,45,1.6,8,14,5,38,0,0,0,0,0,1,0,0,0,2.8,52161.12
38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,43,2.5,4,11,0,45,0,0,0,0,0,1,0,0,0,1.86,26037.4032
39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,45,1.6,8,17,0,44,0,0,0,0,0,1,0,0,0,2.1,46833.12
40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,27,2.0,4,11,0,45,0,0,1,0,0,0,0,0,0,2.0,20725.92
41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,5,0,2073600,67,2.8,16,17,5,71,0,0,0,0,0,1,0,0,0,2.65,79866.72
42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,43,2.5,8,11,0,40,0,0,1,0,0,0,0,0,0,2.3,27864.9072
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,5,0,2073600,45,1.6,4,17,0,51,0,0,0,0,0,1,0,0,0,2.2,36336.96
44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.3,3,1,2073600,45,1.6,12,11,0,55,0,0,0,0,0,1,0,0,0,2.77,53226.72
45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,8,0,4096000,61,2.0,8,17,0,64,0,0,0,0,0,0,0,0,1,1.37,75604.31999999999
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,27,2.0,4,14,0,34,0,0,0,0,1,0,0,0,0,2.2,19660.32
47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,3,0,2073600,65,3.0,8,17,5,68,0,0,0,0,0,1,0,0,0,3.2,69210.72
48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,4,17,0,19,0,0,0,0,0,1,0,0,0,2.3,34045.92
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,1,0,1049088,22,1.1,4,11,0,24,0,0,0,0,0,1,0,0,0,2.8,24828.48
50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.1,4,1,2304000,11,1.44,4,7,0,2,1,0,0,0,0,0,0,0,0,0.69,16996.32
51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,5,0,2073600,52,1.8,8,17,0,41,0,0,0,0,0,1,0,0,0,2.2,44808.48
52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,20,2.5,4,17,0,6,0,0,0,0,0,1,0,0,0,1.86,21231.5472
53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.3,3,0,2073600,52,1.8,8,19,0,51,0,0,0,0,0,1,0,0,0,1.49,58767.84
54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,34,2.4,4,11,0,45,0,0,0,0,0,1,0,0,0,2.4,20459.52
55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,52,1.8,8,17,0,25,0,0,0,0,0,1,0,0,0,2.13,40908.384
56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,27,2.0,4,14,0,34,0,0,0,0,0,1,0,0,0,1.91,23389.92
57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,43,2.5,4,17,0,45,0,0,0,0,0,1,0,0,0,2.0,31232.203200000004
58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,3,0,2073600,67,2.8,16,17,4,83,0,0,0,0,0,1,0,0,0,2.43,130482.72
59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,27,2.0,4,17,0,34,0,0,1,0,0,0,0,0,0,2.0,22111.2
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,3,0,2073600,52,1.8,16,17,4,38,0,0,0,0,0,1,0,0,0,2.8,69210.72
61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0,3,0,2073600,45,1.6,8,17,0,51,0,0,0,0,0,1,0,0,0,1.7,46833.12
62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,5,0,2073600,32,2.7,8,17,0,45,0,0,0,0,1,0,0,0,0,1.7,31914.72
63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,45,1.6,8,17,0,51,0,0,0,0,0,1,0,0,0,1.4,50136.48
64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,8,17,0,45,0,0,0,0,0,1,0,0,0,1.86,36763.2
65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,3,0,2073600,67,2.8,16,19,0,58,0,0,0,0,0,1,0,0,0,1.8,105654.24
66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,27,2.0,4,9,0,25,0,0,0,0,0,1,0,0,0,1.86,23373.4032
67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,1,0,1049088,10,1.6,4,5,0,2,0,0,0,0,0,1,0,0,0,1.44,12201.12
68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,4,11,0,45,0,0,0,0,0,1,0,0,0,1.9,29250.72
69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,3,0,2073600,67,2.8,12,11,0,58,0,0,1,0,0,0,0,0,0,3.0,50562.72
70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13.5,1,1,3393024,43,2.5,4,14,0,45,0,0,0,0,0,0,1,0,0,1.252,58021.92
71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,5,0,2073600,52,1.8,8,17,0,38,0,0,0,0,0,1,0,0,0,1.4,50882.4
72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,52,1.8,8,17,0,38,0,0,0,0,0,1,0,0,0,2.2,46353.6
73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,3,0,2073600,49,2.5,8,14,5,54,0,0,0,0,0,1,0,0,0,2.7,58341.6
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,1,0,1049088,27,2.0,8,11,0,34,0,0,0,0,0,1,0,0,0,2.1,20725.92
75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,3,0,2073600,67,2.8,8,11,0,54,0,0,0,0,0,1,0,0,0,2.2,50562.72
76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,8,10,0,45,0,0,0,0,1,0,0,0,0,2.2,27652.32
77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,52,1.8,8,14,5,51,0,0,0,0,0,1,0,0,0,2.02,45554.4
78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,32,2.7,4,11,0,28,0,0,0,0,0,1,0,0,0,2.2,28238.4
79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,3,0,2073600,45,1.6,8,14,5,44,0,0,0,0,0,1,0,0,0,2.5,52054.56
80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,5,0,2073600,45,1.6,8,17,0,51,0,0,0,0,0,1,0,0,0,1.88,58403.4048
81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0,8,0,3317760,61,1.3,8,19,0,63,0,0,0,0,0,0,0,0,1,0.92,80452.8
82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,45,1.6,8,17,0,45,0,0,0,0,0,1,0,0,0,1.63,45820.8
83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,20,2.5,4,14,0,8,0,0,0,0,0,1,0,0,0,2.2,21258.72
84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,25,3.0,4,11,0,14,0,0,0,0,0,1,0,0,0,2.1,21045.6
85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,5,0,2073600,67,2.8,16,14,5,58,0,0,0,0,0,1,0,0,0,2.65,71874.72
86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,5,0,2073600,52,1.8,8,17,0,23,0,0,0,0,0,1,0,0,0,1.83,37242.72
87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,8,17,0,45,0,0,0,0,0,1,0,0,0,1.96,31914.1872
88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,5,0,2073600,67,2.8,16,14,5,71,0,0,0,0,0,1,0,0,0,2.2,77202.72
89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,5,0,2073600,52,1.8,8,17,0,51,0,0,0,0,0,1,0,0,0,1.21,87858.72
90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,3,0,2073600,40,3.0,8,11,0,30,0,0,0,0,0,1,0,0,0,2.45,37242.72
91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,52,1.8,8,11,0,41,0,0,0,0,0,1,0,0,0,2.2,36709.92
92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.3,3,0,2073600,52,1.8,16,19,0,51,0,0,0,0,0,1,0,0,0,1.49,63776.16
93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,3,0,2073600,49,2.5,8,17,0,71,0,0,0,0,0,1,0,0,0,2.65,63669.6
94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0,3,0,2073600,55,2.7,8,17,0,45,0,0,0,0,0,1,0,0,0,1.25,55890.72
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,5,1,2073600,45,1.6,8,17,0,51,0,0,0,0,0,1,0,0,0,1.5,45128.16
96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,55,2.7,8,11,0,19,0,0,1,0,0,0,0,0,0,2.2,31962.672
